1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Indicator Name
3193200404.37297,32902336.644746,31856922.8615428,33749405.0118998,36193826.1234775,92159420.04170519,62233499.0992703,58953629.14917435,67514285.7142857,66596197.476050496,96245114.4611949,62077135.914984345,65745849.119353995,79773392.59802155,98775328.9473684,112084131.139664,96905829.5964126,74495624.44444445,57130215.5555556,64968550.18518515,121185497.569261,53511735.141955644,42433356.9329734,39793418.9189189,45144000.0,38002074.2021091,55989000.0,62983000.0,100534663.294927,72798000.0,2256838857.60997,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13672802157.8324,12645459213.5235,GDP (current US$)
3193200404.37297,32902336.644746,31856922.8615428,33749405.0118998,36193826.1234775,92159420.04170519,62233499.0992703,58953629.14917435,67514285.7142857,66596197.476050496,96245114.4611949,62077135.914984345,65745849.119353995,79773392.59802155,98775328.9473684,112084131.139664,96905829.5964126,74495624.44444445,57130215.5555556,64968550.18518515,121185497.569261,53511735.141955644,42433356.9329734,39793418.9189189,45144000.0,38002074.2021091,55989000.0,62983000.0,100534663.294927,72798000.0,168879207.244148,4682607.680536452,47737955.346651,99461000.0,152030993.10710502,249333250.082507,110858000.0,110705600.0,65334841.0604347,91679279.03225805,175573556.296138,63101272.3699183,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,641000000.0,638000000.0,6.98855997075241,GDP (current US$)
3193200404.37297,32902336.644746,31856922.8615428,33749405.0118998,36193826.1234775,92159420.04170519,62233499.0992703,58953629.14917435,67514285.7142857,66596197.476050496,96245114.4611949,62077135.914984345,65745849.119353995,79773392.59802155,98775328.9473684,112084131.139664,96905829.5964126,77496753.7037037,87879341.4814815,109079978.888889,131431026.666667,147841734.444444,164369278.888889,182144092.962963,208372846.296296,240923924.814815,290440140.740741,337174861.851852,398637727.777778,438794788.518519,459470370.37037,481707407.407407,499281481.481481,535174074.074074,589429629.62963,577281481.481481,633729629.62963,680618518.518518,727859259.259259,766200000.0,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000.0,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605351851.85185,1661962962.96296,1415059259.25926,GDP (current US$)
18577668271.9229,19652816664.8001,19892485160.7123,21507447642.5132,23764139321.3126,25936835031.9185,27268451114.3465,30397580916.116,32665472057.3412,36628961809.8331,41271138985.3287,45149512823.3845,51967289719.6262,63737347853.9398,88831245394.252,97171924074.8327,104921215177.108,110201881165.405,118338596886.984,134712029989.776,149776044568.245,176642284918.147,193770274743.462,177030416471.689,193242166274.226,180235483623.533,182036933407.946,189061672842.774,235658469150.175,299272046250.305,310781069642.17,325315909269.288,324884257479.043,311549325463.744,322213766862.677,367216364716.365,400302731411.229,434568007512.913,398899138574.239,388608221581.652,415222633925.768,378376086723.194,394648911678.527,466488060570.763,612490396927.017,693407758231.845,746054207846.661,853099630996.31,1053995523724.26,927805183330.879,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.5,1208846993739.99,1329188475752.32,1432881172002.17,1396567014733.23,1330900925056.98,GDP (current US$)
6592693841.18495,7311749633.36229,7756110210.11966,8374175257.73075,9169983885.71185,9994070615.85997,10887682273.1014,11579431668.9165,12440625312.8685,13582798556.2404,15373005557.0257,17858486066.7474,22059612476.9332,29515467706.796,35189299911.6608,40059206763.056,42959976221.5234,51545758887.6863,62052259073.2493,73937296963.4586,82058912997.2346,71034228443.062,71275287569.5733,72121016546.6524,67985344886.8716,69386774408.0872,99036164939.1618,124168442533.74,133339397080.129,133105805512.22,166463386179.354,173794177961.108,195078126721.763,190379720809.18,203535242741.838,241038283062.645,237250948791.266,212790348404.555,218259904401.956,217185787342.851,196799778883.361,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.353,430294287388.311,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381817565893.574,395568644341.038,416207272209.538,454872626780.005,445075391688.156,428965397959.456,GDP (current US$)
3193200404.37297,32902336.644746,31856922.8615428,33749405.0118998,36193826.1234775,92159420.04170519,62233499.0992703,58953629.14917435,67514285.7142857,66596197.476050496,96245114.4611949,62077135.914984345,65745849.119353995,79773392.59802155,98775328.9473684,112084131.139664,96905829.5964126,74495624.44444445,57130215.5555556,64968550.18518515,121185497.569261,53511735.141955644,42433356.9329734,39793418.9189189,45144000.0,38002074.2021091,55989000.0,62983000.0,100534663.294927,72798000.0,168879207.244148,4682607.680536452,446305555.555556,1570000000.0,1193312101.91083,2417355840.03625,3176333837.03359,3962238113.16021,4446368570.6901,4581432038.83495,5272798390.70183,5707720390.8515,6235856819.58445,7276753894.71541,8680370408.05943,13245716099.0057,20982986344.3027,33050343782.7759,48852482960.0779,44291490420.5026,52909294791.9262,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42607176470.5882,GDP (current US$)
195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994962.962963,165444571.428571,178297142.857143,183200000.0,190205714.285714,242732571.428571,252842285.714286,246804571.428571,304339839.552146,345263492.063492,420986666.666667,448412753.623188,547535555.555556,610225555.555556,782496666.666667,919726666.666667,969046666.666667,1013222222.22222,1082926304.46477,987143931.166987,1149979285.77347,1201725497.06578,1131466494.01101,1082403219.48787,1113924130.41149,1132101252.51817,1167398478.3459,1083037670.60484,938632612.026359,925030590.153683,1000428393.88528,869033856.317093,972896267.915425,893770806.077641,808077223.365746,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117113045.65222,1273375020.26862,1356199364.85882,1611835901.9063,1781455092.07114,2032135191.46216,2235820808.72913,2333308059.02403,2451625280.19537,2705783330.38791,3104394792.28413,2959641046.92291,3172292379.36329,3036937141.27062,3012308945.62671,3258187232.63159,GDP (current US$)
11658722590.99,12400145221.595,13264015675.3193,14260017387.0492,15960106680.6732,17371457607.9374,18651883472.4808,19992040788.4593,21376353113.475,23710735894.7022,26706196046.7931,29821661869.912,37209418018.5134,47743801490.3747,56033077879.0389,65678189097.2908,71113882967.6071,82839905458.6382,101246526194.441,116315456796.918,126829314388.191,104730018470.23,92095926187.5331,87184239053.2544,83349530159.1734,86268264148.3796,120018787249.413,149394404105.889,162299103675.261,164221056511.057,205331747947.851,210510999409.333,234781652446.675,224721795708.955,244884129491.198,288025588396.278,279201433224.756,252708051420.839,258528339631.029,258158533986.789,236204532891.1,236541297539.15,257157820440.429,317381715575.621,368537000248.324,385570948886.954,407918078032.869,470324254037.777,515223524241.98,481345929424.84,480951629493.033,522645519183.591,496181260258.3,521642714407.843,534678075827.361,462149679343.822,475739588764.759,501522868356.441,543410654016.602,533254518108.234,515332499627.861,GDP (current US$)
226195579.35701,235668222.429984,236434906.75427,253927646.475909,269818988.259263,289908720.648622,302925280.773564,306222000.407316,326323097.355964,330748211.459737,333627758.154666,335072975.215766,410331900.950531,504376035.716401,554654786.965107,676870140.341529,698408244.385343,750049739.152238,928843304.783965,1186231265.18417,1405251547.23882,1291119965.11262,1267778489.03079,1095348302.91865,1051133927.00009,1045712703.02696,1336102040.71025,1562412030.34838,1620246187.15171,1502294411.46202,1959965243.76269,1986437859.90346,1695315305.70308,2274557914.07481,1598075944.85875,2169627138.34971,2361116448.13533,2268301645.09366,2455092688.1478,3677393996.83767,3519991440.3235,3666222633.83624,4194342689.26268,5349258092.89116,6190270377.07555,6567654958.7537,7034111316.29919,8169048374.70783,9787734516.7416,9738626509.93364,9535345011.48797,10693321370.036,11141358105.9853,12517845127.6775,13284527850.2632,11388160997.1089,11821065852.1271,12701655845.9612,14250987026.0533,14391686309.033,15651545208.8783,GDP (current US$)
330442817.168859,350247237.11684,379567023.340308,394040588.303477,410321618.17137,422916848.424208,433889831.584706,450753993.176448,460442678.217048,478298597.556707,458404330.125096,482411103.787272,578595583.975723,674773518.411839,751133330.591384,939972703.463021,976547163.53387,1131224818.33053,1475583383.37265,1748480982.18517,1928719477.41287,1775842026.4121,1754449845.3012,1600278756.43589,1459880018.54646,1552493068.4254,2036303381.20142,2369834650.08921,2616040645.87263,2615587725.77391,3101300641.87512,3135045684.1006,3356692517.86417,3199536227.94818,1895290623.44033,2379518099.2266,2586550747.09844,2447668984.53131,2804902248.28537,3389566982.51573,2968369991.46729,3190371050.45524,3622350203.94595,4740768355.22974,5451688868.42974,6146352742.03313,6547420133.69942,7625723123.54939,9451436358.96861,9450697335.53565,10109618964.2848,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,16059910870.6239,15990803569.9961,17369059295.2226,GDP (current US$)
